City_ID,City,Max Temp,Current Description,Lat,Lng,City Country,Hotel Name
17,Road Town,82.44,scattered clouds,18.4167,-64.6167,VG,"ZINGARA 76ft Catamaran, full crew-all included"
20,Kailua,84.18,overcast clouds,21.4022,-157.7394,US,Sheffield House Bed & Breakfast
36,Dogondoutchi,84.56,overcast clouds,13.6393,4.0287,NE,Hôtel Alheri Maison Alheri
37,Sibolga,81.19,overcast clouds,1.7427,98.7792,ID,Hotel Syariah CN Darussalam
40,Hithadhoo,83.17,few clouds,-0.6,73.0833,MV,Scoop Guest House
42,Kloulklubed,84.7,scattered clouds,7.0419,134.2556,PW,Storyboard Beach Resort
44,Gaoyou,89.01,overcast clouds,32.7858,119.4278,CN,如家快捷酒店
50,La Ronge,86.22,broken clouds,55.1001,-105.2842,CA,Northland Motor Hotel
51,Georgetown,83.89,few clouds,5.4112,100.3354,MY,Cititel Penang
52,Butaritari,82.18,light rain,3.0707,172.7902,KI,Isles Sunset Lodge
60,Esso,81.86,scattered clouds,55.9333,158.7,RU,Paramushir Tur
67,Bilma,88.36,clear sky,18.6853,12.9164,NE,Expeditions Ténére voyages
69,Nishihara,87.08,broken clouds,26.1842,127.7558,JP,Minshuku Agaihama
76,Tezu,89.42,broken clouds,27.9167,96.1667,IN,Circuit House
77,Lorengau,85.59,broken clouds,-2.0226,147.2712,PG,Lorengau Harbourside Hotel
81,Lakatoro,82.56,few clouds,-16.0999,167.4164,VU,Lakatoro Palm Lodge
84,Cabo San Lucas,89.62,clear sky,22.8909,-109.9124,MX,Hotel Tesoro Los Cabos
87,Hilo,83.28,moderate rain,19.7297,-155.09,US,Hilo Hawaiian Hotel
90,Kapaa,80.47,broken clouds,22.0752,-159.319,US,Sheraton Kauai Coconut Beach Resort
96,Sola,80.96,broken clouds,-13.8833,167.55,VU,Leumerus Bungalows
97,Lakhipur,83.79,overcast clouds,26.0299,90.3041,IN,Rajdhani Hotel
98,Kirakira,84.52,clear sky,-10.4544,161.9205,SB,SanBiz Lodge
107,Tibiao,83.89,overcast clouds,11.2915,122.0354,PH,Kasa Raya Inn
110,Tura,81.73,scattered clouds,25.5198,90.2201,IN,Hotel RIKMAN Continental
111,Auki,85.78,clear sky,-8.7676,160.7034,SB,Auki Motel
115,Padang,82.45,broken clouds,-0.9492,100.3543,ID,Mercure Padang
124,Shingu,83.34,overcast clouds,33.7333,135.9833,JP,Shingu UI Hotel
125,Rock Springs,83.64,few clouds,41.5875,-109.2029,US,Homewood Suites by Hilton Rock Springs
130,Victoria,91.26,overcast clouds,22.2855,114.1577,HK,Mini Central
132,Gizo,84.29,few clouds,-8.103,156.8419,SB,Imagination Island
133,Isangel,84.31,broken clouds,-19.55,169.2667,VU,Tanna Lodge
135,Riyadh,87.94,scattered clouds,24.6877,46.7219,SA,"InterContinental Riyadh, an IHG Hotel"
138,San Patricio,88.18,clear sky,28.017,-97.5169,US,"Motel 6 Sinton, TX"
141,Kudahuvadhoo,82.36,scattered clouds,2.6708,72.8944,MV,Niyama Private Islands Maldives
145,Vanimo,84.67,overcast clouds,-2.6741,141.3028,PG,Vahmoneh Lodge Vanimo
146,Ola,80.15,overcast clouds,59.5833,151.2833,RU,
150,Anito,86.49,overcast clouds,12.4497,125.2886,PH,El Felix Cottages
160,Turan,87.78,scattered clouds,16.0678,108.2208,VN,Grand Mercure Danang
165,Arlit,91.78,broken clouds,18.7369,7.3853,NE,Case de Passage De la Prefecture
168,Eyl,80.28,overcast clouds,7.9803,49.8164,SO,Amiin Hotel
171,Dingle,85.28,broken clouds,10.9995,122.6711,PH,SEGAYA PROPERTY
172,The Valley,82.26,overcast clouds,18.217,-63.0578,AI,CeBlue Villas & Beach Resort
190,Kahului,81.97,scattered clouds,20.8947,-156.47,US,Maui Seaside Hotel
194,Port Blair,80.64,moderate rain,11.6667,92.75,IN,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
202,Kavaratti,81.39,light rain,10.5669,72.642,IN,Green leaf
221,Awallan,89.6,overcast clouds,17.9244,121.913,PH,Bunuga Baggao Cagayan
223,Sabang,82.38,moderate rain,5.8933,95.3214,ID,Hotel Citra
225,Marabba,80.55,overcast clouds,12.35,32.1833,SD,
227,San Jose,82.85,clear sky,37.3394,-121.895,US,The Westin San Jose
230,Saint George,91.78,broken clouds,37.1041,-113.5841,US,Best Western Plus Abbey Inn
240,Licheng,89.98,scattered clouds,23.2955,113.8284,CN,Xincheng Tourism Industry
244,Gravelbourg,82.67,overcast clouds,49.8834,-106.5512,CA,Historic Bishops Residence Bed & Breakfast
254,Osmena,83.07,broken clouds,10.5208,119.9258,PH,Arjemarkyza Lodge
