City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Country,Current Description
0,Capoterra,39.1763,8.9718,76.53,77,0,2.3,IT,clear sky
1,Ushuaia,-54.8,-68.3,33.46,80,40,8.05,AR,scattered clouds
2,Mataura,-46.1927,168.8643,47.48,90,41,5.12,NZ,scattered clouds
3,Qaanaaq,77.484,-69.3632,38.91,97,100,6.31,GL,light rain
4,Nanortalik,60.1432,-45.2371,45.75,75,100,4.5,GL,overcast clouds
5,Taksimo,56.3444,114.8794,72.57,54,47,3.4,RU,scattered clouds
6,Rikitea,-23.1203,-134.9692,69.98,81,89,8.01,PF,light rain
7,Jamestown,42.097,-79.2353,67.59,75,40,6.91,US,scattered clouds
8,Khatanga,71.9667,102.5,46.04,77,100,10.25,RU,overcast clouds
9,Busselton,-33.65,115.3333,63.34,83,72,19.06,AU,broken clouds
10,Yellowknife,62.456,-114.3525,64.92,63,75,3.44,CA,broken clouds
11,Clyde River,70.4692,-68.5914,37.63,93,0,11.5,CA,clear sky
12,New Norfolk,-42.7826,147.0587,50.92,68,100,3.33,AU,overcast clouds
13,Castro,-24.7911,-50.0119,52.59,96,100,7.07,BR,overcast clouds
14,Lom Sak,16.7798,101.2422,76.89,100,75,0.0,TH,broken clouds
15,Saskylakh,71.9167,114.0833,47.21,61,100,9.04,RU,overcast clouds
16,Hobart,-42.8794,147.3294,51.26,77,75,11.5,AU,broken clouds
17,Road Town,18.4167,-64.6167,82.44,69,40,9.22,VG,scattered clouds
18,Barrow,71.2906,-156.7887,42.82,70,0,16.11,US,clear sky
19,Cape Town,-33.9258,18.4232,57.88,94,75,16.11,ZA,light intensity drizzle
20,Kailua,21.4022,-157.7394,84.18,84,100,11.5,US,overcast clouds
21,Longyearbyen,78.2186,15.6401,48.04,87,75,5.75,SJ,broken clouds
22,Samarai,-10.6167,150.6667,77.86,80,100,20.4,PG,overcast clouds
23,Carahue,-38.7,-73.1667,36.77,95,31,3.2,CL,scattered clouds
24,Punta Arenas,-53.15,-70.9167,37.51,81,100,16.11,CL,overcast clouds
25,Thompson,55.7435,-97.8558,78.96,38,0,10.36,CA,clear sky
26,Vestmannaeyjar,63.4427,-20.2734,49.66,80,100,12.55,IS,overcast clouds
27,Batemans Bay,-35.7167,150.1833,56.1,49,32,11.3,AU,scattered clouds
28,Rawson,-43.3002,-65.1023,43.47,55,100,5.14,AR,overcast clouds
29,Klaksvik,62.2266,-6.589,49.12,88,100,6.02,FO,overcast clouds
30,Constitucion,-35.3333,-72.4167,41.11,94,100,7.78,CL,moderate rain
31,Karratha,-20.7377,116.8463,71.87,37,90,16.89,AU,overcast clouds
32,Avarua,-21.2078,-159.775,75.25,64,100,11.5,CK,overcast clouds
33,Itaituba,-4.2761,-55.9836,78.6,66,81,1.34,BR,broken clouds
34,Hermanus,-34.4187,19.2345,56.8,86,91,15.46,ZA,overcast clouds
35,Mar Del Plata,-38.0023,-57.5575,50.09,82,0,15.01,AR,clear sky
36,Dogondoutchi,13.6393,4.0287,84.56,55,98,12.95,NE,overcast clouds
37,Sibolga,1.7427,98.7792,81.19,81,100,0.98,ID,overcast clouds
38,Kem,64.9555,34.5793,62.94,85,100,5.14,RU,overcast clouds
39,Perth,-31.9333,115.8333,60.19,95,100,9.22,AU,moderate rain
40,Hithadhoo,-0.6,73.0833,83.17,73,20,13.38,MV,few clouds
41,Bluff,-46.6,168.3333,47.8,71,82,13.73,NZ,broken clouds
42,Kloulklubed,7.0419,134.2556,84.7,72,36,5.84,PW,scattered clouds
43,Nome,64.5011,-165.4064,66.16,71,0,12.66,US,clear sky
44,Gaoyou,32.7858,119.4278,89.01,69,100,4.56,CN,overcast clouds
45,Bourail,-21.5667,165.4833,69.66,77,100,11.23,NC,overcast clouds
46,Mgandu,-5.95,34.1333,53.1,75,71,4.81,TZ,broken clouds
47,Bredasdorp,-34.5322,20.0403,58.1,79,76,16.24,ZA,broken clouds
48,Petropavlovsk-Kamchatskiy,53.0452,158.6483,68.59,73,20,13.42,RU,few clouds
49,Tasiilaq,65.6145,-37.6368,36.59,80,3,6.4,GL,clear sky
50,La Ronge,55.1001,-105.2842,86.22,32,75,16.11,CA,broken clouds
51,Georgetown,5.4112,100.3354,83.89,91,20,2.3,MY,few clouds
52,Butaritari,3.0707,172.7902,82.18,78,5,18.1,KI,light rain
53,Westport,41.1415,-73.3579,78.62,79,75,4.0,US,broken clouds
54,Dikson,73.5069,80.5464,44.55,70,99,5.21,RU,overcast clouds
55,Nioro,13.35,-15.75,78.19,85,100,6.13,GM,overcast clouds
56,Cattolica,43.9575,12.7376,76.05,59,10,3.44,IT,clear sky
57,Anchorage,61.2181,-149.9003,61.05,80,100,10.36,US,overcast clouds
58,Sinnamary,5.3833,-52.95,76.12,90,100,3.69,GF,overcast clouds
59,Flin Flon,54.7682,-101.865,76.87,52,100,13.44,CA,overcast clouds
60,Esso,55.9333,158.7,81.86,29,50,10.45,RU,scattered clouds
61,Lasa,46.6166,10.7002,70.68,69,100,2.8,IT,overcast clouds
62,Marshfield,44.6689,-90.1718,74.28,60,100,5.75,US,overcast clouds
63,Kibungo,-2.1597,30.5427,61.72,74,77,0.96,RW,broken clouds
64,Ende,-8.8432,121.6623,78.46,73,91,5.3,ID,overcast clouds
65,Sitka,57.0531,-135.33,57.09,82,100,0.0,US,overcast clouds
66,Orthez,43.4884,-0.7724,71.1,41,0,2.1,FR,clear sky
67,Bilma,18.6853,12.9164,88.36,18,4,10.04,NE,clear sky
68,High Level,58.5169,-117.136,59.11,77,75,8.05,CA,broken clouds
69,Nishihara,26.1842,127.7558,87.08,84,75,5.75,JP,broken clouds
70,Ribeira Grande,38.5167,-28.7,69.71,94,100,12.39,PT,overcast clouds
71,Kolpashevo,58.3131,82.9089,58.01,67,100,3.76,RU,overcast clouds
72,Ancud,-41.8697,-73.8203,41.23,88,100,11.54,CL,light rain
73,Puerto Ayora,-0.7393,-90.3518,68.56,96,46,7.0,EC,light rain
74,Lucapa,-8.4192,20.7447,61.7,40,0,4.52,AO,clear sky
75,Lagoa,39.05,-27.9833,68.31,94,99,12.57,PT,overcast clouds
